25 75
4 2
1 7
2 8
3 3
4 5
1 6
5 6
6 3
1 7
1 10
8 3
6 9
1 7
8 9
6 10
9 4
6 8
3 4
2 7
7 2
5 9
8 10
8 4
3 6
6 10
1 2 1
1 5 1
1 9 1
1 11 1
1 12 1
1 16 1
1 23 1
2 9 1
2 13 5
2 24 4
2 25 1
3 5 4
3 7 4
3 13 4
3 20 1
3 22 2
4 5 2
4 6 2
4 7 2
4 15 1
4 17 2
4 18 1
4 20 1
4 24 1
5 9 1
5 12 1
5 19 3
5 24 1
6 10 1
6 15 1
6 24 1
6 25 2
7 8 2
7 12 5
7 18 3
7 19 5
7 21 2
8 10 2
8 13 2
8 14 1
8 22 2
9 10 5
9 12 3
9 13 1
9 16 3
9 20 1
10 12 8
10 13 3
10 15 7
10 21 3
10 23 1
10 25 2
11 12 2
11 13 1
11 18 1
12 15 2
12 17 6
12 24 2
13 15 6
14 19 1
14 21 5
14 23 2
14 24 1
15 20 1
16 20 1
17 18 2
17 19 5
17 21 7
18 23 2
18 24 2
18 25 3
19 20 1
19 24 5
21 24 1
22 24 4
