25 75
5 10
1 10
1 2
1 6
5 7
1 3
8 3
8 10
8 10
3 7
7 7
6 7
5 5
9 2
3 6
8 3
1 8
5 4
2 5
4 3
3 7
10 2
10 7
9 6
9 2
1 2 6
1 4 1
1 12 1
1 14 1
1 21 1
2 3 1
2 4 3
2 15 5
2 17 3
2 18 3
3 7 1
3 8 1
3 9 1
3 13 1
3 20 1
3 22 1
3 23 1
3 24 1
4 5 4
4 6 1
4 7 1
4 8 4
4 9 1
4 10 1
4 13 4
4 14 1
4 20 1
5 6 2
5 21 2
5 23 2
6 9 1
6 11 1
6 24 1
6 25 1
7 8 1
7 9 1
7 10 1
7 12 1
7 13 1
7 15 1
7 18 1
7 20 2
7 24 2
8 12 3
8 16 1
8 17 6
8 20 2
8 24 2
9 13 2
9 24 5
9 25 1
10 12 4
10 13 2
10 16 1
11 21 4
12 15 5
12 16 1
12 17 3
12 22 1
13 14 1
13 15 1
13 16 1
14 15 1
14 18 1
14 24 1
14 25 1
15 23 2
15 25 1
16 20 1
16 21 1
18 25 1
19 20 1
19 24 1
20 24 1
21 24 2
