25 150
8 7
9 2
2 3
10 2
1 8
5 6
10 8
10 7
4 4
10 8
6 10
4 7
6 5
1 2
7 7
10 4
6 8
6 10
10 3
10 7
4 10
10 10
10 6
6 6
2 3
1 3 2
1 4 1
1 7 5
1 8 2
1 15 2
1 17 6
1 20 3
1 21 1
1 22 5
1 23 5
2 4 1
2 7 1
2 10 1
2 11 1
2 12 1
2 17 1
2 18 1
2 22 1
2 23 1
2 24 1
2 25 1
3 4 1
3 5 1
3 7 1
3 8 2
3 9 2
3 12 2
3 13 1
3 15 2
3 18 2
3 19 1
3 20 2
3 21 2
3 23 2
4 5 1
4 6 1
4 7 1
4 14 1
4 16 1
4 17 1
4 18 1
4 19 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 1
5 6 1
5 8 4
5 14 1
5 15 2
5 16 2
5 18 1
5 20 6
5 22 7
5 23 1
5 24 5
6 7 2
6 8 1
6 9 1
6 10 2
6 11 1
6 13 1
6 14 1
6 15 2
6 16 2
6 17 1
6 18 3
6 19 1
6 21 3
6 24 3
7 11 2
7 13 2
7 20 4
7 23 3
8 9 1
8 13 1
8 14 1
8 15 4
8 18 5
8 24 1
8 25 2
9 11 3
9 13 1
9 16 3
9 22 3
9 25 2
10 12 1
10 13 3
10 14 1
10 15 1
10 16 2
10 19 2
10 24 2
10 25 2
11 12 1
11 13 4
11 14 1
11 15 1
11 17 3
11 20 5
11 22 4
11 24 4
12 13 3
12 14 1
12 16 1
12 18 4
12 20 4
12 21 1
12 22 5
12 25 1
13 15 2
13 16 3
13 18 3
13 20 4
13 21 1
13 22 2
13 23 4
13 24 4
14 15 1
14 22 1
14 23 1
14 24 1
14 25 1
15 21 3
15 23 1
15 24 4
15 25 2
16 17 1
16 18 2
16 19 2
16 20 3
16 21 2
16 22 1
16 24 2
16 25 2
17 19 1
17 22 4
17 24 3
18 22 8
18 25 2
19 21 1
19 23 1
20 22 3
20 24 4
21 22 7
21 23 5
21 25 2
22 24 3
24 25 2
