25 75
10 4
7 7
9 9
5 2
2 9
3 9
10 6
5 6
4 5
6 6
8 8
5 8
5 5
3 7
8 6
8 4
3 4
5 5
7 3
7 5
3 4
5 6
4 3
8 4
8 3
1 2 3
1 5 3
1 12 2
1 15 3
1 16 3
1 17 2
1 20 1
1 25 2
2 7 4
2 10 3
2 11 5
3 11 5
3 12 5
3 16 1
3 17 1
4 5 1
4 7 1
4 8 1
4 12 1
4 25 1
5 9 2
5 11 7
5 13 2
5 19 1
5 22 5
6 23 1
7 8 3
7 9 2
7 17 3
7 18 3
8 11 2
8 15 5
8 17 2
8 19 1
8 21 2
8 25 2
9 10 3
9 11 3
9 14 3
9 22 4
9 25 1
10 18 2
10 19 1
10 23 1
10 25 1
11 16 3
11 17 3
11 18 3
11 22 3
11 23 2
12 14 2
12 17 2
12 20 4
12 22 4
13 14 1
13 21 3
13 24 1
14 23 1
14 24 2
14 25 1
15 17 3
16 19 2
16 22 3
16 23 1
17 24 2
18 19 1
18 20 1
18 25 1
19 20 2
19 21 1
20 25 1
21 22 2
21 25 1
22 24 2
23 24 2
