25 150
1 2
2 10
3 3
10 2
9 2
10 9
6 7
4 10
4 7
7 7
5 8
4 4
3 8
3 2
6 3
9 10
1 4
10 5
9 3
5 8
8 7
5 10
7 6
4 9
8 4
1 2 1
1 4 1
1 5 1
1 6 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 14 1
1 17 1
1 18 1
1 21 1
1 22 1
1 23 1
1 25 1
2 3 1
2 6 7
2 9 4
2 10 6
2 14 1
2 16 9
2 17 1
2 18 1
2 20 1
2 21 4
2 22 7
2 23 2
2 24 4
2 25 3
3 4 1
3 5 1
3 7 2
3 9 1
3 10 1
3 12 2
3 13 2
3 15 1
3 18 2
3 23 1
3 24 1
3 25 1
4 5 1
4 6 1
4 7 1
4 8 1
4 14 1
4 17 1
4 18 1
4 22 1
5 6 1
5 9 1
5 11 1
5 13 1
5 16 1
5 17 1
5 21 1
5 22 1
5 23 1
6 9 5
6 11 3
6 12 2
6 15 2
6 18 4
6 19 2
6 21 2
6 23 4
6 24 2
6 25 3
7 12 1
7 15 1
7 17 3
7 18 1
7 20 5
7 21 4
7 22 3
7 24 2
8 9 1
8 10 3
8 11 6
8 15 2
8 17 2
8 19 1
8 20 7
8 21 4
8 22 8
8 23 3
8 24 7
8 25 3
9 10 1
9 12 3
9 13 3
9 14 1
9 15 1
9 16 4
9 17 2
9 18 3
9 23 4
9 24 6
9 25 1
10 11 4
10 13 6
10 14 1
10 17 2
10 18 3
10 20 2
10 23 5
10 24 2
11 12 1
11 19 2
11 20 4
11 24 2
12 15 1
12 16 2
12 18 2
12 19 2
12 20 1
12 21 2
12 23 2
12 25 3
13 14 1
13 16 3
13 18 3
13 19 2
13 21 2
13 24 5
14 16 1
14 18 1
14 24 1
14 25 1
16 22 3
16 24 1
16 25 3
17 18 2
17 20 1
17 22 1
18 19 1
18 22 4
18 23 1
18 24 4
19 23 2
19 24 2
20 22 1
20 23 5
20 24 3
20 25 1
22 23 3
22 24 3
22 25 2
23 25 2
