25 150
2 9
6 2
8 10
6 8
9 3
10 3
4 4
10 7
1 7
2 2
5 8
10 4
10 7
1 6
5 3
4 8
7 7
1 6
6 8
5 10
4 10
3 4
6 10
8 4
5 10
1 2 1
1 3 5
1 6 2
1 7 2
1 8 2
1 10 1
1 12 3
1 13 2
1 16 1
1 17 6
1 18 1
1 19 7
1 20 4
1 21 6
1 22 3
1 23 7
1 24 3
1 25 8
2 3 1
2 4 1
2 7 1
2 13 1
2 15 1
2 18 1
2 20 1
2 21 1
2 22 1
2 25 1
3 6 1
3 10 1
3 14 3
3 17 4
3 18 2
3 19 5
3 23 5
3 24 2
4 5 2
4 6 2
4 7 2
4 8 6
4 9 1
4 10 1
4 11 5
4 12 2
4 13 3
4 14 2
4 15 1
4 19 4
4 21 5
5 6 1
5 9 2
5 10 1
5 13 2
5 16 1
5 19 1
5 22 1
5 23 2
5 24 1
5 25 1
6 8 2
6 14 1
6 16 1
6 17 1
6 20 1
6 24 1
6 25 2
7 10 1
7 12 2
7 14 2
7 15 1
7 17 1
7 19 2
7 21 1
7 22 3
7 23 3
7 25 3
8 9 6
8 10 1
8 11 1
8 13 1
8 14 4
8 15 1
8 17 2
8 20 3
8 21 3
8 22 3
9 11 4
9 12 3
9 13 5
9 14 2
9 18 3
9 19 4
9 21 1
9 23 5
9 25 4
10 11 1
10 13 1
10 14 1
10 23 1
11 14 1
11 15 1
11 16 5
11 17 2
11 21 4
11 22 3
11 23 2
11 24 2
11 25 5
12 13 1
12 20 3
12 21 1
12 22 1
12 23 3
12 24 3
12 25 3
13 14 4
13 15 1
13 17 5
13 19 2
13 21 1
13 24 1
14 15 1
14 16 2
14 17 2
14 18 4
14 22 1
15 16 1
15 18 1
15 19 1
15 24 2
16 19 6
16 20 2
16 23 7
16 24 3
17 20 2
17 21 4
17 23 1
18 20 1
18 21 4
18 22 1
18 23 3
19 20 7
19 23 6
20 21 2
20 23 1
20 24 1
21 22 3
22 23 2
22 24 2
23 25 3
