50 612
10 9
8 9
8 9
7 7
10 10
7 8
9 9
2 10
6 6
10 3
6 9
9 4
8 10
1 8
8 8
4 3
8 9
8 7
6 4
9 9
3 7
6 4
3 4
7 3
8 7
4 2
7 9
1 7
4 8
4 3
9 9
8 8
2 5
6 2
10 3
8 2
5 2
10 7
10 3
5 2
8 10
7 6
8 10
5 8
8 2
10 10
9 4
8 2
4 5
8 10
1 2 2
1 3 3
1 4 6
1 5 2
1 6 6
1 9 2
1 12 3
1 14 4
1 17 6
1 18 5
1 20 5
1 22 3
1 23 2
1 29 5
1 31 2
1 33 4
1 34 1
1 35 2
1 41 4
1 45 1
1 46 3
1 48 1
1 50 4
2 4 2
2 5 1
2 7 6
2 8 5
2 13 2
2 15 5
2 16 1
2 17 4
2 20 1
2 22 3
2 23 2
2 26 1
2 27 2
2 28 5
2 30 2
2 34 1
2 35 2
2 36 1
2 37 1
2 38 3
2 39 2
2 42 2
2 46 5
2 48 1
2 50 7
3 4 6
3 6 1
3 9 5
3 10 2
3 13 8
3 16 2
3 17 8
3 18 4
3 20 4
3 21 6
3 22 1
3 23 1
3 25 3
3 30 1
3 33 2
3 34 1
3 35 1
3 37 1
3 41 2
3 42 3
3 44 6
3 45 1
3 46 4
3 47 1
3 49 3
4 6 1
4 10 1
4 12 2
4 15 4
4 16 1
4 18 3
4 21 1
4 22 1
4 23 2
4 25 3
4 26 1
4 28 2
4 37 1
4 39 2
4 40 1
4 41 2
4 43 3
4 46 4
4 48 1
4 49 3
4 50 1
5 6 5
5 7 5
5 12 2
5 13 8
5 14 1
5 17 1
5 18 5
5 19 3
5 20 6
5 21 6
5 22 3
5 23 3
5 25 6
5 26 1
5 28 1
5 29 1
5 31 4
5 32 2
5 38 1
5 40 1
5 41 5
5 43 9
5 45 1
5 46 2
5 48 1
5 49 1
5 50 8
6 7 3
6 8 4
6 12 3
6 13 3
6 14 3
6 20 2
6 21 2
6 22 3
6 25 1
6 26 1
6 27 6
6 28 4
6 31 1
6 32 7
6 34 1
6 35 1
6 42 5
6 43 1
6 45 1
6 49 1
6 50 2
7 8 5
7 10 2
7 12 1
7 13 4
7 14 7
7 15 2
7 16 1
7 18 5
7 19 1
7 21 6
7 23 2
7 26 1
7 30 1
7 31 8
7 32 6
7 34 1
7 36 1
7 44 3
7 45 1
8 9 1
8 10 1
8 11 4
8 12 1
8 14 2
8 17 2
8 18 2
8 20 3
8 21 5
8 22 1
8 23 2
8 25 3
8 27 3
8 31 4
8 32 1
8 33 4
8 34 1
8 36 1
8 37 1
8 39 2
8 42 4
8 45 1
8 46 9
8 47 2
8 50 9
9 10 2
9 11 5
9 12 1
9 14 5
9 18 3
9 21 1
9 23 1
9 24 1
9 25 3
9 26 1
9 27 5
9 29 3
9 30 1
9 31 2
9 32 1
9 33 4
9 34 1
9 37 1
9 40 1
9 41 4
9 42 2
9 47 1
9 48 1
9 49 3
10 11 1
10 14 2
10 16 2
10 17 1
10 18 1
10 19 2
10 21 1
10 26 1
10 28 1
10 29 1
10 30 2
10 31 1
10 32 1
10 36 1
10 38 1
10 39 1
10 40 1
10 42 1
10 46 2
10 47 2
10 49 2
10 50 1
11 13 6
11 16 1
11 17 4
11 18 2
11 23 3
11 24 2
11 25 2
11 27 2
11 28 3
11 33 3
11 34 1
11 36 1
11 37 1
11 40 1
11 43 3
11 44 4
11 47 2
11 49 3
11 50 6
12 13 2
12 18 1
12 20 3
12 26 1
12 27 3
12 34 1
12 35 1
12 36 1
12 37 1
12 40 1
12 41 3
12 42 1
12 43 2
12 45 1
12 48 1
13 15 6
13 16 2
13 20 2
13 21 4
13 22 2
13 23 3
13 24 2
13 27 5
13 30 2
13 32 2
13 33 1
13 40 1
13 41 4
13 42 2
13 44 7
13 46 9
13 48 1
13 49 1
13 50 8
14 16 2
14 19 2
14 20 4
14 23 3
14 25 3
14 26 1
14 27 3
14 28 1
14 29 5
14 30 2
14 31 3
14 32 4
14 33 4
14 36 1
14 38 2
14 41 5
14 42 5
14 43 4
14 45 1
14 48 1
14 49 1
14 50 2
15 18 3
15 26 1
15 27 4
15 29 5
15 30 2
15 31 7
15 34 1
15 35 1
15 37 1
15 38 4
15 39 2
15 40 1
15 42 2
15 46 7
15 47 2
15 48 1
15 49 3
16 18 1
16 22 2
16 23 2
16 24 2
16 25 1
16 27 1
16 29 2
16 30 1
16 31 2
16 35 2
16 36 1
16 38 2
16 41 1
16 44 1
16 45 1
16 47 1
16 50 1
17 18 5
17 21 5
17 23 3
17 26 1
17 28 3
17 29 6
17 33 1
17 36 1
17 37 1
17 38 2
17 40 1
17 42 2
17 44 6
17 46 8
17 47 1
17 50 4
18 22 1
18 23 1
18 25 4
18 27 1
18 29 4
18 31 3
18 32 5
18 33 4
18 34 1
18 36 1
18 39 2
18 42 2
18 47 1
18 50 6
19 21 3
19 22 2
19 28 3
19 29 2
19 30 1
19 32 3
19 37 1
19 39 2
19 42 3
19 43 1
19 44 3
19 45 1
19 46 3
19 49 3
20 21 3
20 22 1
20 24 1
20 25 4
20 26 1
20 27 5
20 30 1
20 31 8
20 32 6
20 33 4
20 37 1
20 38 2
20 41 6
20 42 5
20 44 3
20 46 6
20 47 3
20 48 1
20 50 6
21 23 3
21 24 1
21 25 5
21 27 5
21 29 4
21 34 1
21 37 1
21 39 1
21 40 1
21 43 4
21 46 4
21 48 1
22 27 3
22 28 1
22 33 1
22 34 1
22 35 1
22 36 1
22 37 1
22 38 1
22 39 2
22 40 1
22 42 2
22 44 2
22 45 1
22 46 2
22 47 2
22 50 3
23 24 2
23 25 1
23 26 1
23 27 2
23 30 1
23 31 2
23 34 1
23 37 1
23 38 2
23 39 2
23 41 1
23 45 1
23 47 2
23 48 1
23 50 3
24 26 1
24 31 2
24 33 2
24 35 1
24 36 1
24 40 1
24 42 1
24 44 1
24 49 1
24 50 2
25 27 5
25 29 1
25 30 1
25 32 5
25 33 3
25 35 1
25 36 1
25 37 1
25 39 2
25 40 1
25 41 2
25 44 6
25 45 1
25 47 2
25 48 1
25 50 4
26 28 1
26 30 1
26 33 1
26 37 1
26 38 1
26 39 1
26 42 1
26 49 1
26 50 1
27 28 1
