50 612
5 7
9 8
4 4
2 7
2 10
10 10
3 4
7 7
9 10
8 3
1 9
10 8
6 10
4 2
6 4
10 8
3 7
8 6
2 9
10 7
9 3
8 2
9 4
9 7
2 4
6 4
1 5
9 8
10 8
6 3
5 8
1 3
6 4
2 3
8 7
5 10
2 3
8 4
6 8
5 9
2 9
8 2
6 7
3 5
1 6
5 9
7 10
6 7
9 3
8 9
1 5 2
1 6 5
1 7 1
1 11 5
1 12 3
1 13 2
1 20 4
1 24 6
1 25 2
1 27 1
1 28 2
1 31 3
1 33 3
1 38 2
1 40 5
1 41 2
1 43 3
1 45 2
1 47 6
1 49 2
1 50 1
2 3 2
2 4 3
2 6 4
2 9 5
2 11 1
2 13 6
2 14 1
2 20 2
2 22 1
2 29 3
2 32 2
2 36 6
2 37 1
2 39 7
2 40 4
2 41 7
2 42 1
2 43 6
2 44 1
2 49 1
2 50 1
3 4 3
3 6 3
3 12 3
3 13 1
3 14 1
3 15 1
3 16 3
3 18 2
3 19 1
3 20 2
3 22 1
3 23 2
3 30 1
3 31 2
3 35 3
3 36 2
3 37 1
3 38 1
3 39 2
3 40 3
3 43 1
3 44 1
3 45 1
3 49 1
4 5 6
4 10 2
4 12 3
4 13 6
4 15 1
4 18 3
4 19 3
4 21 1
4 22 1
4 23 1
4 25 3
4 27 2
4 28 2
4 29 6
4 31 4
4 33 2
4 34 1
4 37 2
4 44 1
4 47 5
4 48 4
5 8 6
5 10 2
5 17 2
5 21 2
5 23 3
5 25 2
5 26 3
5 27 4
5 29 1
5 32 1
5 33 2
5 37 2
5 41 7
5 44 2
5 47 7
5 48 3
5 50 4
6 8 3
6 9 2
6 12 2
6 14 1
6 15 2
6 16 2
6 17 1
6 18 4
6 19 5
6 23 1
6 24 4
6 28 7
6 34 1
6 35 2
6 36 3
6 37 1
6 41 5
6 42 1
6 44 1
6 45 4
6 48 5
6 49 2
7 8 3
7 9 1
7 11 3
7 12 1
7 14 1
7 18 3
7 19 2
7 22 1
7 24 2
7 25 3
7 26 1
7 30 2
7 35 3
7 37 2
7 41 2
7 43 3
7 44 3
7 46 1
7 48 2
7 49 2
8 10 1
8 13 3
8 14 1
8 16 1
8 17 5
8 18 5
8 21 1
8 23 3
8 24 2
8 25 1
8 33 2
8 34 2
8 36 2
8 38 1
8 39 4
8 41 6
8 44 4
8 45 5
8 47 2
9 12 2
9 13 8
9 14 1
9 15 1
9 18 3
9 19 3
9 20 6
9 22 1
9 24 5
9 26 1
9 27 3
9 28 2
9 29 2
9 30 2
9 31 1
9 34 2
9 35 2
9 37 1
9 38 1
9 39 1
9 40 5
9 41 7
9 42 1
9 43 1
9 45 1
10 11 1
10 12 2
10 20 2
