25 75
6 5
7 2
9 9
8 5
5 4
6 2
9 9
8 3
1 8
2 3
4 7
3 10
8 10
8 5
1 4
8 3
4 6
5 9
4 10
9 2
6 8
2 4
2 6
8 8
6 3
1 9 1
1 13 1
1 14 4
1 20 1
2 5 1
2 12 1
2 14 1
2 17 1
2 18 1
2 21 1
3 23 4
3 24 6
4 5 2
4 22 3
5 6 1
5 8 1
5 11 1
5 13 3
5 16 1
5 18 3
5 19 3
5 23 1
5 25 1
6 7 1
6 14 1
6 21 1
6 22 1
6 24 1
7 10 2
7 11 3
7 13 7
7 14 1
7 20 1
7 25 2
8 9 2
8 13 1
8 14 1
8 17 1
8 22 1
8 24 2
9 13 2
9 18 4
9 24 6
9 25 2
10 13 2
10 16 2
10 17 2
10 19 2
10 24 2
11 12 2
11 15 2
11 18 1
12 14 1
12 21 1
12 22 3
12 25 2
13 14 2
13 18 8
13 21 1
13 23 4
14 16 2
14 17 1
14 18 4
14 22 2
14 24 1
14 25 1
15 21 3
15 25 1
16 17 1
17 23 2
19 21 1
19 22 3
20 22 1
21 23 2
24 25 1
