25 75
4 7
10 3
6 3
9 3
10 7
10 7
10 7
5 4
6 3
6 4
1 6
2 9
4 5
1 6
8 10
7 5
6 8
6 3
7 10
6 9
7 6
2 8
1 4
6 5
6 4
1 2 1
1 3 2
1 4 2
1 6 2
1 7 6
1 11 4
1 14 5
1 21 3
1 22 2
2 3 1
2 23 1
3 5 1
3 8 2
3 15 1
3 17 1
3 19 2
4 5 2
4 6 1
4 8 2
4 12 1
4 16 1
4 19 2
5 6 3
5 16 2
5 19 4
6 11 3
6 15 5
6 17 2
6 18 1
6 23 2
7 9 2
7 14 1
7 15 6
7 17 1
7 19 4
7 25 3
8 10 3
8 11 1
8 12 3
8 14 3
8 18 2
8 23 2
8 24 3
9 13 2
9 15 1
9 18 1
9 19 2
9 20 2
9 23 2
9 25 2
11 19 5
11 20 2
11 21 1
11 23 1
12 23 1
13 15 3
13 20 3
13 22 4
13 23 3
14 15 5
14 21 1
14 23 1
15 16 2
16 17 4
16 19 1
16 22 2
17 18 1
17 24 2
17 25 1
18 22 2
19 24 1
22 23 2
22 24 2
23 24 1
24 25 3
