50 612
3 4
6 3
5 4
8 6
1 8
2 4
6 8
7 5
3 2
2 10
3 5
9 5
6 5
2 6
2 6
2 9
6 5
4 4
9 7
10 6
7 4
8 10
1 8
4 9
9 7
8 3
5 10
10 10
6 6
2 2
10 7
6 4
1 4
3 6
4 8
8 7
1 5
1 3
10 2
10 5
5 2
10 5
10 10
4 4
8 10
6 3
3 6
8 8
4 7
9 7
1 4 1
1 6 3
1 7 2
1 10 2
1 11 3
1 12 3
1 15 3
1 16 1
1 17 1
1 20 3
1 21 3
1 22 3
1 23 3
1 27 1
1 28 3
1 29 3
1 31 3
1 33 3
1 36 1
1 37 1
1 39 1
1 41 1
1 43 1
1 47 3
1 48 2
1 50 3
2 3 2
2 6 1
2 8 2
2 9 1
2 10 1
2 13 2
2 14 2
2 15 1
2 16 1
2 18 1
2 19 2
2 22 1
2 24 1
2 25 1
2 26 1
2 27 1
2 29 2
2 30 1
2 31 2
2 39 1
2 41 1
2 44 1
2 45 2
2 47 1
2 49 1
3 4 2
3 6 1
3 7 2
3 8 1
3 9 1
3 10 3
3 12 1
3 14 3
3 21 3
3 25 2
3 26 2
3 28 2
3 29 2
3 31 2
3 34 2
3 35 1
3 36 2
3 38 2
3 39 1
3 41 1
3 44 1
3 45 1
3 47 3
3 48 1
4 5 3
4 6 2
4 8 2
4 10 2
4 11 3
4 12 4
4 14 1
4 16 1
4 17 4
4 18 3
4 19 1
4 20 2
4 24 1
4 26 2
4 28 4
4 29 1
4 30 1
4 32 1
4 35 4
4 38 1
4 40 1
4 42 4
4 43 2
4 44 1
4 45 3
4 46 1
4 48 3
5 6 2
5 8 1
5 9 1
5 11 4
5 12 1
5 14 5
5 16 4
5 17 1
5 18 1
5 19 6
5 21 2
5 23 1
5 27 3
5 29 3
5 32 3
5 34 4
5 35 7
5 36 4
5 37 2
5 38 1
5 44 3
5 46 1
5 47 4
5 48 1
6 9 1
6 10 1
6 15 3
6 18 3
6 19 1
6 20 2
6 25 2
6 26 1
6 30 1
6 38 1
6 39 1
6 43 3
6 44 1
6 48 3
6 49 3
7 9 1
7 10 6
7 11 2
7 14 1
7 16 2
7 17 3
7 21 1
7 22 2
7 23 5
7 26 1
7 27 5
7 29 5
7 30 1
7 32 3
7 33 1
7 35 7
7 36 2
7 37 2
7 40 1
7 41 1
7 43 5
7 44 2
7 45 1
7 46 2
7 48 7
8 12 4
8 14 4
8 15 2
8 16 4
8 18 2
8 19 2
8 21 2
8 23 3
8 25 1
8 27 2
8 31 2
8 36 2
8 40 4
8 41 1
8 42 2
8 44 2
8 48 4
8 49 3
8 50 4
9 14 1
9 15 1
9 16 1
9 19 1
9 20 1
9 21 1
9 24 1
9 25 1
9 28 1
9 29 1
9 31 1
9 32 1
9 33 1
9 35 1
9 42 1
9 44 1
9 45 1
9 47 1
9 48 1
9 49 1
9 50 1
10 12 1
10 13 3
10 18 1
10 19 5
10 20 5
10 22 7
10 24 7
10 25 4
10 26 1
10 27 9
10 29 1
10 30 1
10 33 2
10 34 4
10 40 2
10 42 3
10 43 7
10 48 6
10 50 1
11 13 1
11 15 2
11 17 4
11 18 1
11 19 4
11 22 2
11 23 2
11 26 1
11 29 4
11 30 1
11 31 3
11 34 2
11 35 3
11 39 1
11 41 1
11 43 4
11 46 2
11 50 1
12 14 4
12 17 1
12 19 2
12 21 2
12 23 2
12 24 4
12 28 3
12 32 1
12 35 1
12 39 1
12 41 1
12 42 4
12 44 3
12 45 2
12 48 1
12 49 4
13 14 1
13 15 3
13 16 4
13 18 3
13 19 3
13 20 4
13 22 3
13 23 2
13 28 4
13 29 3
13 38 2
13 39 1
13 40 3
13 42 1
13 44 3
13 47 1
14 15 3
14 17 1
14 19 3
14 20 2
