50 612
4 3
1 5
6 10
5 7
3 8
4 5
5 3
5 9
1 4
5 6
6 10
4 10
2 5
3 10
3 5
8 2
1 8
1 3
10 7
10 4
6 5
10 5
10 9
8 10
10 9
10 4
2 4
6 7
1 8
7 4
2 6
2 10
1 10
9 10
3 7
9 4
3 8
4 7
3 10
10 4
8 6
6 7
4 7
8 4
4 2
7 7
4 8
8 2
10 9
6 6
1 2 1
1 4 1
1 10 1
1 11 2
1 12 2
1 16 1
1 17 2
1 18 1
1 26 1
1 27 1
1 28 1
1 33 2
1 34 2
1 35 2
1 37 1
1 38 2
1 40 1
1 42 2
1 46 1
1 47 2
1 50 1
2 10 2
2 11 1
2 12 3
2 13 1
2 15 4
2 16 1
2 17 3
2 23 1
2 24 1
2 25 2
2 33 3
2 35 4
2 37 3
2 38 1
2 41 2
2 49 2
2 50 3
3 5 1
3 6 3
3 7 1
3 10 1
3 11 1
3 12 3
3 13 3
3 14 1
3 15 2
3 16 1
3 17 4
3 18 1
3 22 4
3 23 7
3 25 3
3 26 1
3 28 6
3 30 2
3 31 1
3 32 4
3 35 2
3 36 1
3 37 5
3 38 2
3 42 5
3 43 2
3 44 1
3 45 1
3 47 5
3 49 2
3 50 4
4 5 6
4 6 1
4 11 1
4 12 6
4 13 3
4 15 2
4 17 4
4 18 2
4 24 1
4 25 3
4 28 6
4 34 3
4 35 1
4 36 1
4 39 5
4 40 3
4 46 1
4 47 3
4 48 1
4 49 4
4 50 1
5 6 2
5 7 1
5 9 1
5 14 4
5 18 1
5 19 6
5 22 1
5 23 4
5 24 3
5 25 4
5 26 2
5 27 3
5 29 3
5 30 3
5 38 2
5 40 1
5 41 5
5 42 6
5 43 5
5 45 1
5 47 3
5 48 1
6 8 4
6 9 1
6 12 2
6 14 2
6 19 4
6 20 3
6 22 2
6 23 2
6 26 3
6 27 3
6 28 2
6 29 4
6 31 1
6 37 4
6 38 3
6 42 4
6 44 3
6 49 1
6 50 4
7 10 2
7 11 1
7 12 1
7 17 2
7 18 2
7 20 2
7 22 2
7 24 1
7 25 2
7 26 1
7 29 2
7 31 1
7 34 1
7 40 2
7 41 1
7 42 2
7 43 2
7 44 1
7 45 1
7 47 1
8 9 3
8 10 2
8 13 4
8 14 5
8 21 4
8 23 2
8 25 5
8 27 1
8 28 4
8 30 2
8 31 3
8 32 6
8 33 3
8 35 5
8 38 4
8 39 5
8 40 3
8 41 5
8 42 3
8 43 5
9 10 2
9 11 2
9 12 1
9 13 3
9 14 2
9 16 1
9 19 3
9 20 1
9 21 3
9 23 2
9 24 3
9 26 2
9 28 3
9 29 2
9 30 2
9 31 2
9 34 3
9 35 2
9 36 3
9 38 3
9 39 2
9 40 2
9 41 3
9 42 1
9 45 1
9 46 1
9 49 3
10 12 3
10 13 2
10 18 2
10 19 4
10 20 3
10 23 1
10 24 5
10 27 2
10 29 1
10 31 3
10 32 2
10 33 3
10 35 4
10 37 3
10 38 5
10 40 2
10 43 4
10 50 5
11 15 4
11 18 1
11 19 6
11 20 2
11 21 3
